An existing JUnit 5 test class for this focal method is already in place.
PIT was run against it. The mutants below are the ones it did NOT kill.
Add new test methods that kill them. Do not rewrite or delete existing tests.

SURVIVED (7 total) -- the mutated line already executes, but no assertion distinguishes the mutant from the original. Assert on the specific value or side effect this line changes:
- line 833 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (inAvail < 0) {
- line 878 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (b < 0) {
- line 876 | MathMutator | Replaced integer addition with subtraction | source: context.modulus = (context.modulus + 1) % BYTES_PER_UNENCODED_BLOCK;
- line 887 | MathMutator | Replaced integer addition with subtraction | source: context.currentLinePos += BYTES_PER_ENCODED_BLOCK;
- line 833 | RemoveConditionalMutator_ORDER_ELSE | removed conditional - replaced comparison check with false | source: if (inAvail < 0) {
- line 878 | RemoveConditionalMutator_ORDER_ELSE | removed conditional - replaced comparison check with false | source: if (b < 0) {
- line 888 | RemoveConditionalMutator_ORDER_ELSE | removed conditional - replaced comparison check with false | source: if (lineLength > 0 && lineLength <= context.currentLinePos) {

NO_COVERAGE (35 total) -- no existing test reaches this line. Choose inputs that drive execution into this branch, then assert on the result:
- line 869 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (lineLength > 0 && context.currentLinePos > 0) {
- line 869 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (lineLength > 0 && context.currentLinePos > 0) {
- line 888 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (lineLength > 0 && lineLength <= context.currentLinePos) {
- line 879 | IncrementsMutator | Changed increment from 256 to -256 | source: b += 256;
- line 845 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = encodeTable[context.ibitWorkArea >> 2 & MASK_6BITS];
- line 845 | MathMutator | Replaced Shift Right with Shift Left | source: buffer[context.pos++] = encodeTable[context.ibitWorkArea >> 2 & MASK_6BITS];
- line 845 | MathMutator | Replaced bitwise AND with OR | source: buffer[context.pos++] = encodeTable[context.ibitWorkArea >> 2 & MASK_6BITS];
